1	203	3	0	0	1
1	1	3	0	1	1
1	205	3	1	0	1
1	15	3	1	1	1
1	204	4	0	1	1
1	2	4	1	0	1
1	145	5	0	0	1
1	3	5	0	1	1
1	44	5	1	0	1
1	235	5	1	1	1
1	102	6	0	0	1
1	4	6	1	0	1
1	166	6	1	1	1
1	5	7	0	0	1
1	70	7	0	1	1
1	437	8	0	0	1
1	6	8	0	1	1
1	470	8	1	0	1
1	7	9	1	0	1
1	8	10	0	0	1
1	404	10	0	1	1
2	203	3	0	0	1
2	1	3	0	1	1
2	205	3	1	0	1
2	15	3	1	1	1
2	9	4	1	0	1
2	10	5	0	1	1
2	11	6	1	0	1
2	12	7	0	0	1
2	290	8	0	0	1
2	13	8	0	1	1
2	431	9	0	0	1
2	14	9	1	0	1
3	203	3	0	0	1
3	1	3	0	1	1
3	205	3	1	0	1
3	15	3	1	1	1
3	204	4	0	1	1
3	2	4	1	0	1
3	145	5	0	0	1
3	3	5	0	1	1
3	44	5	1	0	1
3	235	5	1	1	1
3	16	6	1	0	1
3	17	7	0	0	1
3	18	8	0	0	1
3	19	9	0	0	1
3	149	9	0	1	1
3	20	10	0	1	1
3	332	11	0	0	1
3	21	11	1	0	1
4	203	3	0	0	1
4	1	3	0	1	1
4	205	3	1	0	1
4	15	3	1	1	1
4	22	4	1	0	1
4	23	5	0	1	1
4	24	6	1	0	1
4	25	7	0	0	1
4	319	7	0	1	1
4	26	8	0	0	1
4	434	8	1	0	1
4	27	9	0	0	1
4	67	10	0	0	1
4	28	10	0	1	1
4	68	11	0	0	1
4	29	11	1	0	1
4	30	12	0	1	1
4	31	13	1	0	1
4	32	14	0	0	1
4	33	15	0	0	1
5	203	3	0	0	1
5	1	3	0	1	1
5	205	3	1	0	1
5	15	3	1	1	1
5	34	4	1	1	1
5	35	5	1	0	1
6	203	3	0	0	1
6	1	3	0	1	1
6	205	3	1	0	1
6	15	3	1	1	1
6	36	4	1	0	1
6	37	5	0	0	1
6	38	6	0	0	1
6	39	7	0	0	1
6	181	7	1	0	1
7	145	3	0	0	1
7	3	3	0	1	1
7	44	3	1	0	1
7	235	3	1	1	1
7	102	4	0	0	1
7	4	4	1	0	1
7	166	4	1	1	1
7	40	5	0	0	1
7	41	6	0	0	1
7	42	7	0	0	1
7	43	8	0	0	1
8	145	3	0	0	1
8	3	3	0	1	1
8	44	3	1	0	1
8	235	3	1	1	1
8	45	4	0	0	1
8	46	5	0	0	1
8	47	6	0	0	1
8	48	7	0	1	1
8	49	8	1	0	1
8	50	9	0	1	1
8	165	10	0	0	1
8	51	10	1	0	1
8	99	10	1	1	1
9	203	3	0	0	1
9	1	3	0	1	1
9	205	3	1	0	1
9	15	3	1	1	1
9	204	4	0	1	1
9	2	4	1	0	1
9	145	5	0	0	1
9	3	5	0	1	1
9	44	5	1	0	1
