1,zek1
2,oluf1
3,bayas2
4,qham3
5,egun1
6,takan2
7,okaza4
8,ususi1
9,islil2
10,heli3
11,efakw1
12,heli2
13,giyam1
14,giyam2
15,kufun2
16,heli1
17,lakom2
18,bums2
19,walok2
20,moye1
21,zel2
22,zel1
23,senz1
24,apisi4
25,esw1
26,ilodw1
27,ngoph2
28,usush1
29,ugog1
30,elikh1
31,giyan1
32,abahl1
33,bobes1
34,abahl3
35,isa2
36,ekung1
37,isa1
38,samt1
39,mul1
40,uzofi1
41,mul2
42,egul1
43,qakis1
44,zalw1
45,qakis2
46,ugoj1
47,giyak2
48,giyak1
49,laku1
50,okuso1
51,abhe2
52,henzi3
53,abhe1
54,henzi4
55,linja2
56,ukhos1
57,zem1
58,owakw1
59,walom2
60,muk1
61,muk2
62,aneka2
63,enod1
64,luma1
65,luma2
66,luma3
67,bayap2
68,thung3
69,esu2
70,esu1
71,giyal2
72,inunu1
73,thung2
74,hleli2
75,udlul1
76,oqe1
77,zalu1
78,hleli1
79,zalu2
80,zen1
81,yile1
82,yile2
83,zen2
84,emelu1
85,walol2
86,vad2
87,ugod1
88,ususe1
89,qabi2
90,ukhol1
91,olub1
92,giyaq2
93,moya3
94,lakw2
95,lakw1
96,bayan2
97,oluc1
98,ukhok1
99,zeh1
100,umezu1
101,samx1
102,gilah2
103,babik2
104,abhi1
105,bayam2
106,xula2
107,ukhon1
108,thunj3
109,umdal1
110,abaho1
111,namuh2
112,helo2
113,helo3
114,muh1
115,muh2
116,ulifu1
117,bayal2
118,ilahl2
119,oqa1
120,ngagu2
121,ukhom3
122,ukhom1
123,edeni2
124,hlwen3
125,wahix1
126,ekune1
127,yila2
128,yila1
129,mug2
130,hlele3
131,giyap2
132,ilahl1
133,ezizw1
134,zent1
135,zenu1
136,bayak2
137,eso1
138,isi2
139,isi1
140,ekuno1
141,olup1
142,ukujw1
143,umdak1
144,ezizi1
145,namun1
146,zed1
147,qond2
148,qond1
149,isl2
150,nsan1
151,qhaw2
152,giyas1
153,qhaw3
154,udad1
155,giyas2
156,kalil2
157,agang1
158,wezel1
159,kubah2
160,wavuk1
161,ayiyi1
162,ugob1
163,ngaha2
164,hwich1
165,ngaha1
166,mut2
167,hlinz3
168,uzofa1
169,qabo2
170,yilo2
171,ukhoz2
172,giyat2
173,lumi3
174,lumi2
175,olun1
176,lumi1
177,idlul1
178,aqon1
179,idlul2
180,udab1
181,giyay2
182,oluk1
183,agane1
184,esl1
185,ekunj1
186,bayag2
187,eshef1
188,yelam1
189,gilap2
190,gilap1
191,lumb2
192,val1
193,henzw3
194,val2
195,mun2
196,giyaz2
197,olul1
198,bayaf2
199,sana1
200,ise1
201,ise2
202,qong3
203,qhaz1
204,vak1
205,van1
206,giyaw2
207,abha2
208,abha3
209,qush2
210,ish1
211,abha1
212,ish2
213,neth1
214,ilahe1
215,uzofe1
216,helw3
217,helw2
218,nsule3
219,helw1
220,wabiz1
221,gilan2
222,uchwe1
223,gilan1
224,giyax2
225,vam1
226,ukuju1
227,giyax1
228,esi2
229,yelan1
230,esi1
231,yelan2
232,sewej2
233,osiya2
234,ajako1
235,lala2
236,lala3
237,zenz1
238,lume3
239,lume2
240,lume1
241,lala1
242,kwekh2
243,laka2
244,laka1
245,owakh1
246,laka3
247,emnya1
248,kalis1
249,muz1
250,bayab2
251,kethi3
252,olux1
253,uhenq1
254,igqa1
255,muz2
256,jima2
257,esh1
258,ikun1
259,qabu2
260,gigib2
261,esh2
262,mayiw2
263,sama1
264,avume1
265,ikum1
266,ese1
267,sakwa2
268,elaba1
269,abeke1
270,samb1
271,lokob1
272,ayiya1
273,wavus1
274,bayaa2
275,okosh4
276,ikul1
277,samg1
278,lake1
279,giyab2
280,oqo2
281,gapha2
282,esc1
283,oqo1
284,gapha1
285,iziph1
286,luli1
287,luli2
288,womlu1
289,wavul1
290,luli3
291,gapha4
292,gapha3
293,thuny3
294,ikus1
295,kethe4
296,olut1
297,klaze3
298,nabes1
299,lwazi4
300,muv2
301,jime1
302,abaha1
303,muv1
304,noval1
305,kuban2
306,obho2
307,ayazi1
308,eyohl1
309,wavum1
310,eveze2
311,kalin2
312,inaz1
313,abekh1
314,velil1
315,watsh1
316,watsh4
317,lakh1
318,zali1
319,esa2
320,esa1
321,ugov1
322,zez1
323,ikuq1
324,avuma1
325,jima3
326,eliju1
327,asibo1
328,lakh2
329,laki2
330,phezi2
331,ikup1
332,neso1
333,thunz4
334,thunz3
335,lulu3
336,zet1
337,mayip2
338,nabef1
339,samk1
340,dand2
341,inan2
342,hema3
343,giyaf2
344,iwaph1
345,elika1
346,asibe1
347,komph1
348,saml1
349,dane2
350,dane1
351,inam1
352,hemb2
353,hemb3
354,ileka2
355,kubaz2
356,igqi1
357,akeze1
358,ewejw1
359,hlela1
360,okazi1
361,mve1
362,hlela4
363,hlela3
364,hlela2
365,inal1
366,ulifa1
367,sami2
368,wanx2
369,giyad1
370,wanx1
371,heme3
372,heme2
373,ikut1
374,yaba1
375,mayim2
376,yaba2
377,wabin1
378,inak1
379,dang2
380,lulw1
381,lulw2
382,lulw3
383,wany2
384,wany1
385,okuth1
386,igqo1
387,sus1
388,giyaj1
389,giyaj2
390,lako2
391,owaku1
392,asibi1
393,abagw1
394,oqh1
395,ikuz1
396,samp1
397,dana1
398,uzofu1
399,obhe2
400,avumi1
401,wabik1
402,obhe3
403,obhe1
404,oqi2
405,mva1
406,wans1
407,mva2
408,giyah2
409,ikuy1
410,oluz1
411,iru1
412,zala2
413,isez1
414,zeq1
415,henze3
416,oluy1
417,hemi2
418,abagu1
419,elabe1
420,abeka1
421,wadal1
422,giyag2
423,abeka2
424,yanam2
425,isey1
426,isem1
427,awon3
428,kadok2
429,awon1
430,uqedi1
431,ivela1
432,abeku1
433,geson1
434,kuyof2
435,lalw2
436,lalw3
437,isel1
438,lalw1
439,ishwe1
440,ensin1
441,isen1
442,zenze1
443,thume3
444,nisek2
445,gqum2
446,kadol2
447,wanon2
448,salo2
449,semv2
450,ira1
451,gesom1
452,org1
453,nsiza1
454,sise1
455,yagci1
456,sise2
457,gapho2
458,omude1
459,thumb2
460,wolib1
461,kanuk2
462,udaz3
463,eshez4
464,kuyoh2
465,sish2
466,yimf1
467,somhl1
468,lalu3
469,emcas1
470,bemis2
471,eshey4
472,osiza1
473,jabu3
474,jabu2
475,nisen1
476,nisen2
477,uligw1
478,zithw2
479,jabu1
480,ishwa2
481,ishwa3
482,ishwa1
483,salu1
484,hizel1
485,aging1
486,thumi3
487,thumi4
488,awoq1
489,egezi1
490,usuth1
491,amyek1
492,zithu2
493,wesul1
494,ogcwe1
495,dale1
496,gesok1
497,gqun3
498,lukw3
499,ises1
500,ensim1
501,zakw2
502,sul1
503,bulu2
504,njin2
505,yimb2
506,sul2
507,imizu1
508,ikub1
509,iset1
510,zaku1
511,hleka1
512,imong1
513,hleka2
514,yima2
515,suk2
516,suk1
517,kuyon2
518,odoko1
519,qoma2
520,okots1
521,ugodl1
522,nabe1
523,ikuc1
524,sikwa2
525,gaphe2
526,gaphe1
527,abaga1
528,eziyi1
529,zithi2
530,gatha4
531,mvu1
532,mvu2
533,yimp1
534,njiw1
535,hehla4
536,ikuf1
537,ensiz1
538,nozet1
539,hehla2
540,hehla3
541,uligq1
542,hisan1
543,sibon2
544,jimi3
545,ozang1
546,asibu1
547,yenda1
548,gatha1
549,gatha2
550,lule1
551,datho3
552,siso2
553,umeza1
554,sigcw2
555,qoma1
556,idili1
557,awow2
558,sibom2
559,mugqa2
560,lule2
561,lule3
562,zenzi1
563,iseh1
564,uligo1
565,send1
566,waph1
567,ikuh1
568,gaphi1
569,gaphi2
570,ibonw1
571,naba1
572,vevez3
573,mezi3
574,kuyok2
