0  0 0 0 1
0  1 1 1 0
0  2 2 0 0
0  3 3 0 1
0  4 4 1 0
0  758 0 1 0
0  759 1 0 0
0  760 2 0 1
0  761 3 1 0
0  1720 0 0 0
0  1721 1 0 1
0  1722 2 1 0
0  2669 0 0 1
0  2670 1 1 0
0  3500 0 1 0
1  4166 0 0 0
1  4167 1 0 0
1  4168 2 0 0
1  4169 3 0 0
1  4170 4 0 0
1  4171 5 0 1
1  4172 6 1 0
1  4923 0 0 0
1  4924 1 0 0
1  4925 2 0 0
1  4926 3 0 0
1  4927 4 0 1
1  4928 5 1 0
1  5884 0 0 0
1  5885 1 0 0
1  5886 2 0 0
1  5887 3 0 1
1  5888 4 1 0
1  6832 0 0 0
1  6833 1 0 0
1  6834 2 0 1
1  6835 3 1 0
1  7662 0 0 0
1  7663 1 0 1
1  7664 2 1 0
2  8322 0 0 1
2  8334 1 1 0
2  8335 2 0 0
2  8336 3 0 1
2  8337 4 1 0
2  8338 5 0 0
2  8339 6 0 0
2  8340 7 0 1
2  8341 8 1 0
2  8594 2 0 0
2  9090 0 1 0
2  9091 1 0 0
2  9092 2 0 1
2  9093 3 1 0
2  9094 4 0 0
2  9095 5 0 0
2  9096 6 0 1
2  9097 7 1 0
2  10050 0 0 0
2  10051 1 0 1
2  10052 2 1 0
2  10053 3 0 0
2  10054 4 0 0
2  10055 5 0 1
2  10056 6 1 0
2  10997 0 0 1
2  10998 1 1 0
2  10999 2 0 0
2  11000 3 0 0
2  11001 4 0 1
2  11002 5 1 0
2  11826 0 1 0
2  11827 1 0 0
2  11828 2 0 0
2  11829 3 0 1
2  11830 4 1 0
3  12483 0 0 1
3  12503 1 1 0
3  12504 2 0 0
3  12505 3 0 0
3  12506 4 0 0
3  12955 2 0 0
3  13259 0 1 0
3  13260 1 0 0
3  13261 2 0 0
3  13262 3 0 0
3  14218 0 0 0
3  14219 1 0 0
3  14220 2 0 0
3  15164 0 0 0
3  15165 1 0 0
3  15992 0 0 0
4  16644 0 0 1
4  16645 1 1 0
4  16668 2 0 1
4  16669 3 1 0
4  16670 4 0 0
4  16671 5 0 0
4  16672 6 0 0
4  16673 7 0 1
4  16674 8 1 0
4  17362 7 0 1
4  17402 0 1 0
4  17424 1 0 1
4  17425 2 1 0
4  17426 3 0 0
4  17427 4 0 0
4  17428 5 0 0
4  17429 6 0 1
4  17430 7 1 0
4  18297 7 1 0
4  18382 0 0 1
4  18383 1 1 0
4  18384 2 0 0
4  18385 3 0 0
4  18386 4 0 0
4  18387 5 0 1
4  18388 6 1 0
4  19327 0 1 0
4  19328 1 0 0
4  19329 2 0 0
4  19330 3 0 0
4  19331 4 0 1
4  19332 5 1 0
4  20154 0 0 0
4  20155 1 0 0
4  20156 2 0 0
4  20157 3 0 1
4  20158 4 1 0
5  20805 0 0 1
5  20817 1 1 0
5  20818 2 0 0
5  20836 3 0 1
5  20837 4 1 0
5  20838 5 0 1
5  20839 6 1 0
5  20840 7 0 1
5  20841 8 1 0
5  20842 9 0 0
5  20843 10 0 0
5  20844 11 0 0
5  21077 2 0 0
5  21182 9 0 0
5  21573 0 1 0
5  21574 1 0 0
5  21592 2 0 1
5  21593 3 1 0
5  21594 4 0 1
5  21595 5 1 0
5  21596 6 0 1
